video_id,description_string,description_list,comments
7283952208561933599,we all know who the grand puppet master is in this impeachment. the long arm (but small hands) of donald trump and his fingerprints are all over this hearing and gop shut down.,"['we', 'all', 'know', 'who', 'the', 'grand', 'puppet', 'master', 'is', 'in', 'this', 'impeachment', 'the', 'long', 'arm', 'but', 'small', 'hands', 'of', 'donald', 'trump', 'and', 'his', 'fingerprints', 'are', 'all', 'over', 'this', 'hearing', 'and', 'gop', 'shut', 'down']","[""this whole hearing is a waste of everyone's time and our tax dollars... I'm glad she said it"", 'Put this clip on every news station tonight PLEASE!!!!', 'it is sad how far the government has fallen to such a degree', 'The wholle speech was awesome, but ”… little hands…” was a dagger to the ego of the instigator of this whole sad saga! Thank you!', 'Ngl I’ve never heard of this Rep but was thoroughly impressed with her fortitude in this hearing', 'The poster boards, the straight talk, calling out MTG to her face, the little hands comment - hell yes!!!', 'Her voice didn’t even shake as she spoke truth to power here. 💪', 'The fact that they can’t even bother to show up!! 🙄😡😡😡', 'She is my new superhero. We can call her "" Cosmic Nebula."" Defender of truth!!!🥰', 'Visual cards showing the evidence hits harder than just saying it', 'No clue who you are but this is a sane, rational view. This is what our leadership should sound like.', 'We all know this. Thank you for letting THEM know we know.', 'She came prepared. Well said thank you.', ""I haven't see you on my fyp before. I'm glad that this is the first intro I have of you. keep up the good work! so many amazing women now in politics!"", '“Truly chilling” nailed it. Terrifying the lengths they’ll go to.', 'the little hands comment was 😂😂😂', ""Well said Ma'am .. WELL SAID"", ""you'll be forever remembered for this speech. you rock."", 'Dam! All the Demacrates are bringing Receipts today!', 'WELL SAID. EVERY WORD ""TRUTH""', '♥️👏👏👏Another great moment from Rep Stansbury!! 🔥 🔥', '😁😁😁 The mocking is the point. They want to delegitimize congress.', ""Get 'em! Great speech!"", 'She brought receipts! 💙', 'Slayed 🔥😎🥰', ""𝗘𝗫𝗖𝗘𝗟𝗟𝗘𝗡𝗧 𝗠𝗔'𝗔𝗠🥰𝗚𝗥𝗘𝗔𝗧 𝗣𝗥𝗘𝗦𝗘𝗡𝗧𝗔𝗧𝗜𝗢𝗡 𝗩𝗘𝗥𝗬 𝗜𝗡𝗙𝗢𝗥𝗠𝗔𝗧𝗜𝗩𝗘🥰𝗧𝗛𝗔𝗡𝗞 𝗬𝗢𝗨"", 'Thank you for speaking the truth!', 'Absolutely felt this through bones! I can only thank you for speaking on our behalf. Thank you for protecting our Democracy!', '🥰keep going!!🥰', 'Perfectly said', 'Absolutely on point!!', '💙💙💙👏🏻👏🏻👏🏻👏🏻', 'house rs gotta try to divert attention from their failures in budget work or any measures to take care of America', 'Great job! 👏 💯 correct ✅', 'thank you!', 'SPOT ON!!', 'The party of small government with all this government waste for this b.s. hearing. Beautiful argument 👏', 'Thank you for speaking up!', '100%!!!!!!!!!', 'well done', '💯Agreed', 'Thank you for speaking truth to power 👏👏👏👏😊', '👏🏼👏🏼👏🏼💙say it louder!!!', 'Yes ma’am👏🏼', 'The little hands though! Bravo!', 'SAY IT LOUD \U0001fa77 🙌 👏', 'Excellent speech 🔥', 'Thank you for speaking up!!', '💯', 'Exactly! Well said', 'Thank you for this❣️', '👏👏👏, absolutely', 'Great job!', 'Well said💙', 'Well done!', 'Yes!!!', 'Thank you 👏👏👏💙💙💙', 'Love this', 'Preach!', 'Thank you ma’am!!', 'where are they? what are they plotting?', '🎯🎯🎯🎯', 'Wow! ❤️❤️', 'Nicely said!!', 'Brilliance! 👏 👏 👏', 'Thank you!', 'Spot on!', 'EXACTLY 💯!!!Well said 👏!!! 💙🥰', 'Powerful💥💥💥♥️', 'Fantastic job.', 'Facts', 'Well articulated 👏👍😎', 'Louder!!!!', '💯Right on', 'Yes.', 'Yep!!', 'Dam Right!!!', 'Well said and well put.', 'accurate', 'Thank you!!!!!', '💙 God bless the democrats I can only imagine working with the Republicans has to be stressful 🙏🏾..good up the good work 👏🏾', ""Vote each and every republican that supports Trump out of office. It's the only way to save this Republic."", 'Say it LOUDER for the people in the back row !! 👏👏👏👏', 'All of this ☝️', 'This next election is very important and be sure to get out and vote 💙💙💙💙💙💙💙', 'Louder for the people in the back!!! 👏👏👏👏👏', 'truth...followed', 'They have to show us something after so long with their investigation. So they stretch and hype up a whole bunch of nothing, to save face.', 'Makes me wonder what they’re doing while they aren’t there 😬', ""I don't know you, but thank you for this!"", 'All facts 💯', ""Brilliant put down of the GOP's wreckers behavior wasting taxpayer money on bogus hearings!"", 'Thank you for making the facts totally clear and visible!', 'Without gerrymandering Republicans would barely be a party anymore', 'I’m so tired of these Republicans not working and getting away with it and making a mockery of our democracy.I just can’t believe this is our country.', 'Go, Melanie!!!!', 'THE LONG ARMS BUT SMALL HANDS! AHH HAHAHAHAHAHAHA', 'amazingly said', '😳him with 91 can run and work but my bk round stops me nah this ridiculous for a similar charge he has forgery 20 yrs past still there but he can do', 'who do we call? what do we do?', '💯 Agreed !', 'Wow how many times republicans have to hear this facts and still want to defend the indefensible', 'This should be on TV', 'Get to the business of Congress and stop playing around', 'My question is, how 🤔, does ,this ,continue to happen.\nlike there is evidence. Tons of it.', '“… and little hands!” - I LOVE IT!! 🥰🥰', '💯', 'Like pulling a fire alarm😂😂😂😂', 'Welll done…truths!', 'Well said. 👏👏👏👏👏', 'Our Gov is so childish, petty, and spoiled. All decisions should be decided by a chess match. But I doubt anyone is smart enough to know how to play.', 'Lmaoo “we see his long arms…but little hands” 🤣🤣🤣', 'The GOP is out of touch with reality. Their in denial of what’s going on around them. It’s all about the rich and corporations.', 'She points out what a waste of govts time and resources. It’s too bad that these Repubs should be held accountable for this sham impeachment!', ""it's a attempt to deflect from the Trump trials. if they could do forward fox news ... would have an excuse to not report on the trials. deflecting101"", 'Tooo many facts and good sense to be allowed in the public discourse- more conspiracy please!', 'I hope the fine ppl of NM are getting to see you in action. They should be very proud of your work. kudos to you, miss, kudos to you.', 'That’s my representative! Go Melanie! Thank you for speaking up and representing us effectively. We are so proud of and grateful for you!', 'well said', 'Just commenting to show love.', 'need to abolish both sides of government and get a party of the People in there, a party that supports Americans and not their pocket books,,', ""Absolutely no lies detected here and that's the difference between an educated representative who stays loyal to the constitution unlike Green and"", ""the truth is out there. But if it isn't from fox or already supporting what they believe, they ignore it and call it liberal lies. they're hopeless."", 'Thank you for speaking up! Truth matters!', 'outstanding!! 👏👏👏', ""we're at war with putin Trump"", '💯', 'Sadly, the American people are not smart. Some are crazy MAGAts,', 'What do Santa Claus, the Easter Bunny, the Democratic Party, and the Republican Party have in common?', 'Why is the GOP allowing a small portion of radical Republicans to control them? Who gives a shit what Matt, Marjorie and Lauren want??', 'Let them try something again. We will ALL be ready.', 'Please vote and get Republicans out. Vote Blue!', 'I really like her! Thank you for this!👏👏👏👏👏👏', 'Awesome post ! Keep em coming ! Democrats need to call out all the BS !💙💙💙💙', 'When the evidence is evidencing lmao !! GOP need a course in evidence and truth', 'Well presented!! 👏🏻👏🏻👏🏻👏🏻', 'Little hands!! 🔥🔥🔥', 'Thank you Melanie Stansbury for speaking up & outing the illegitimate GOP for their cowardice & failure to do their job.']"
7278392468788366634,"if the majority wants to talk about dark money and activist courts, i am so here for it.so, let’s talk about how right wing organizations bankroll judicial decisions to undermine our fundamental rights and judicial system.","['if', 'the', 'majority', 'wants', 'to', 'talk', 'about', 'dark', 'money', 'and', 'activist', 'courts', 'i', 'am', 'so', 'here', 'for', 'itso', 'lets', 'talk', 'about', 'how', 'right', 'wing', 'organizations', 'bankroll', 'judicial', 'decisions', 'to', 'undermine', 'our', 'fundamental', 'rights', 'and', 'judicial', 'system']","['when corporations and religious groups can legally bribe anyone in any position of power this is what happens.', 'WHY is there no recourse for this. HOW on earth are these justices allowed to be so corrupt and nothing can be done about it.', 'freaking term limits!!!!', 'Thank you for your words! 👏👏👏👏💙🇺🇸💙🇺🇸💙🇺🇸💙🇺🇸', 'Bravo! I wonder what the GOP’s response was??? 😏', '“Money is the root of all evil” they knew this centuries ago but people still don’t get it.', 'thank you for bringing more corruption to light...when is something going to change?😡', 'Thank you!! Absolutely right!!', 'spot on💙💙💙💙🙏🙏🙏', '100% correct. 💙💙💙', 'This needs to go viral', 'Thank you💙💙💙', ""wow I'm blown away , thank you for speaking on our behalf 💙💙👌👏👏👏👏💯"", 'Thank you for your hard work!!🔥 So Proud You Are Ours!! #NewMexicoTrue 💛❤️', 'Thank you Rep', ""Thank you for speaking up, let's not talk about it, let's DO SOMETHING!!"", 'America has got to VOTE BLUE! We are in trouble and must save our country! 💪💙🇺🇸💪💙🇺🇸', '💯‼️🔥 This #BogusSCOTUS is absolutely one of the greatest risks to our democracy!', 'Thank you!', 'Get money out of politics', 'thank trump and cronies', 'SCOTUS has been sorely compromised and must be investigated. Judicial branch must be aboveboard in every regard and especially the highest court', 'yeahhh, about 2 sentences away from being a failed state or going civil war part deux. what congress gon do bout it', 'Second amendment allows us to eliminate threats to our constitution just saying', 'The so-called “Highest Court In The Land” showing itself to be “Above the law” that they took an OATH to uphold?!#TotalHypocrisy💯🧐🚨🚔', 'It’s impossible to have “Justice” WITHOUT good “Judgment” - The SCOUS has shown itself AGAIN to be just another extension of a Criminal Enterprise.💯', 'The Supreme Court is a wholly owned subsidiary of The Heritage Foundation', 'Your rep in NM!!', '@', '@', '', 'As it’s said, “ For the Love of money is the root of all evil.”', 'Clear case of bribery & conflict of interest - 2 of the judges need to be removed!', 'Will this country ever get tired of taking away Indigenous ppls rights. We have no bottom.', 'It’s all about personal agendas now! It’s not about American citizens anymore!!!!', 'She is talking to you Clarence Thomas', ""Let's not forget that the last 3 judges lied during their confirmations when questioned about established law. That alone should justify removal!!"", 'Greed over Humanity', 'Corrupted, illegitimate court.', 'Thank you for what you’ve so clearly spoken to these unethical people who are very unAmerican. You are right in everything you said. Thank you.', 'This is WRONG AND IMMORAL!! Thomas should’ve been let go immediately.', 'Katie Porter and her need to get together! Imagine the beauty!', 'take the money away from the billionaires asap', 'Corrupt Court - CCOTUS not SCOTUS', ""While I am extremely hopeful people will overwhelmingly vote blue. I have a bad feeling that it's going to end in a war as well :/"", 'The right isn’t listening. They plug their ears.', 'The US was the only country to vote that the right to food is NOT a basic human right, so, none of this surprises me at all.', 'sadly I did not see the rest of the democratic party with a few exceptions doing much of anything except insider trading to enrich their portfolios.', 'Let’s DO something about it. They need impeached or the court expanded.', 'The Supreme Court is a wholly owned subsidiary of the Heritage Foundation', ""We can reverse these corrupt decisions. It'll take 2 presidential elections of voting blue or a majority in the house & super majority in the Senate"", 'The Supreme Court, is the biggest threat to our Democracy and our Freedom!', 'SCOTUS is a National Security Threat #corruption', 'SCOTUS shouldn’t be allowed donations they don’t have to campaign for their positions, to hold or obtain. Donations to scotus are just legal payoffs.', ""I don't live in NM but I LIVE in this country for whom this HORRIFIC Supreme Court decides my future. It's time out for talking, IMPEACH THEM NOW."", 'Standing ovation', 'Just sad that we have lost the right to protect our own bodies, children and clean water.', ""Thank you! it shouldn't be so easy to buy a Supreme Court!"", 'The same goes for the Congress and Senate. Many are not doing anything for us but for the people who fund their campaigns. I am over it.', ""more of us then them. we can't live like this anymore. we have to stand together."", ""wow just hearing about this woman on fire. I'll take Katie Porter for Prez & Melanie Stanbury for VP! Thank you Melanie for speaking truth!!"", 'We need to make an illegal for them to take that money and we need to pay them minimum wage take that money that they’ve been using it and disperse.', 'VOTE BLUE, NO MATTER WHO.', 'Let’s talk about the justices who swore under oath to America they respected settled law. They’re LIARS and should be removed from the bench!', 'More People Need to Speak Up Like This!! MORE!!', 'thank you for saying this out loud on the Congressional record! 💯 truth', 'Mind blowing, question the credibility of all republican justices', 'The GOP is the ultimate example of corruption', 'FINALLY!!!', 'TERM LIMITS, NO MORE LIFETIME APPOINTED POSITIONS💯🔥', 'Run for president. We need a younger candidate 💙', 'Damn right!! This needs to be said over and over and as loud as we can.', 'I have no faith at all in our garbage Supreme court that is on the “take”', 'Founding fathers would be spinning in their graves', 'We need a complete overhaul, get the long timers out!', 'What’s your opinion on Nancy Pelosi?', 'Your constituents, nay the whole country, is honored to have you representing them. Thank you!', 'Something needs to be done. The rich are destroying the US inside and out. Give the power back to the people.', 'Why isn’t this post put everywhere on all channels and online for everyone to see and be informed. This piece is so important to hear and see.', 'Bravo- thanks for speaking out. Sad State we are in as country.', 'Go on tour with this! We need it everywhere!', 'She is a powerhouse and 100% on point.', '', '', 'Give her airtime so her voice can be heard louder!', 'Preach! Keep saying this out loud!💕', '👏the Supreme Court needs to be overhauled', 'And thank you!!!', 'Yep! True and sad...be very careful who you vote for!', 'How much longer till you can just say Jenny Thomas’ name🙏 and too bad you couldn’t just say what they are.. corrupt', 'We have the best government (all three branches) that money can buy. Unfortunately, money seems to always trump what’s best for the people.', 'They are all corrupt but how do we clean house when the foundation is crumbling', 'Appalling, thank you for speaking up.', 'It’s very surprising that SCOTUS is just now being looked into for this kind of stuff!', 'Let’s get of rid liberty moms as well . Unhinged Karen’s . Vote💙', ""YES!!!! it's about the money. they don't care about fundamental rights, because they can take care of theirs. we don't matter."", 'Thank you🙏🏼🙏🏼🙏🏼🙏🏼', 'Boost!!!', 'It is unbelievable that our Representatives can’t draw the same conclusions when it comes to lobbyists and super pacts and special interest groups', 'Go Rep. Stansbury!! 🥰🥰🥰', 'In order to ever address any of the problems we so clearly see, we need to have either objectivity or a democratic majority.', 'the right is always yelling about how g. soros funds the left, meanwhile look at everyone funding the right. geez louise😳', 'Thank you! New Mexico has an amazing representative!', 'Thank you !!!', 'Yasss!🔥💙💙 I live in MO but would love to live in ur district in NM!🥰', 'It’s INSIDIOUS! It’s appalling and frankly unbelievable.', 'this!!!', 'hell yea!! CALL THEM ALLLLLL OUT', ""Yes!!! We can't stop talking about this. Oversight & Accountability!"", 'Boost', 'thank you', '🎤 Droppppp', '👏👏👏 Excellent. Keep it up, Goddess Melanie. Incredibly important to keep bringing these facts to the House Record. 👍', 'It’s been happening way too long already!! Thank you for shedding light!', 'No lies were detected. 🎯🎯🎯', ""not to say they have 5 or more house's and cars"", 'She said what she said!', 'You and Katie Porter could run this country!!!!', 'Thank you!', 'People keep brushing all this under the rug, thank you for taking the time to reply speak out about all this 💙', 'Thank you for doing your job!', 'Thank you.\n💙🌊💙🌊💙', 'Thank you for informing all of us. It is so maddening.', 'Welcome player 2! We need all the people we can get speaking up!', 'You go girl! We so appreciate you and your voice!', 'Thank you for this!', ""😳Thank you. They are so worried about THEIR 'freedoms' that they are trampling everyone else's..."", 'Thank you', 'my Congresswoman!!', ""I still don't understand why they can't be fired...."", 'Thank you for speaking up!', 'Like we have all this evidence and yet why aren’t judges being fired? Why are cases being overturned? Why are being held responsible?', 'true dis!!!😳', '❤️❤️Thank you 🙏🏿!', 'thank you!', 'Thank you for standing up and addressing this.', 'Thank you!', 'Keep informing the people who are suffering from these laws. Many thanks ma’am', 'boost!!!', 'thank you for speaking up.', 'Boost!!!']"
7257715712897125675,"the party of ‘law and order” 🤔lol, they literally have a history of interfering in criminal investigations for political gain.today’s oversight hearing is purely a political stunt. period.","['the', 'party', 'of', 'law', 'and', 'order', 'lol', 'they', 'literally', 'have', 'a', 'history', 'of', 'interfering', 'in', 'criminal', 'investigations', 'for', 'political', 'gaintodays', 'oversight', 'hearing', 'is', 'purely', 'a', 'political', 'stunt', 'period']","['You and Katie Porter need to run on a presidential ticket together.', 'This format of questioning by Katie Porter & Melanie Stanbury needs to be made into an educational course for new US Reps', 'AN ABSOLUTELY SCATHING INDICTMENT', 'Keep standing strong against the corruption!!!!!!', 'You go girl', 'Excellent use of your limited time for questioning! ♥️', 'She’s enjoying herself, bringing the facts. 🙂', 'Well done', 'FREEKIN outstanding!!👏🏽👏🏽👏🏽💙💙💙🇺🇸🇺🇸🇺🇸', '🚨 ROCK STAR ALERT 🚨', 'Excellent. Thank you for your courage and for doing your job.', 'Perfectly executed. Keep up the good work!', 'I chuckled so hard everytime you cut them off to say ""I appreciate your response."" 😆', 'It’s important to get this stuff on the House Record. 👍', 'A new face but I am impressed!', 'That was a fact slapping marathon. 👏👏👏👏', 'Hard hitting and well said', 'Truth', 'Well done getting it in the record.', 'Whoa! You are amazing!', 'I just actually lol\'ed at you cutting him off with ""it\'s a widely known fact, thank you for your response""', 'From a NM voter — thank you!', 'powerful delivery. thank you', '🥰 you did great 👍', 'ask if they were paid to testify', 'She’s a boss😎', 'Love it!! Thank you!!', 'I love it when they come out with the facts. 💙', 'NM proud🥰', 'vote them out ⚖️⚖️⚖️', '""Again... I was paid to stick to the script...""😉', 'All that and they still want the guy🤨😠', 'well done!!', 'Thank you for being a rockstar!🥰', 'Focused and on point .', ""Yes Ma'am loud and clear 👊👏👏👏💙"", 'This is awesome!! Thank you 🙏🏽', 'Girl I am so proud 🥰', 'Best ever GIRL!!', 'Courage. Respect. Wow.', 'They waste money & time!', 'Enjoyed this woman', 'She’s goodddd', 'Vote blue. 💙💙💙', 'you and this gal should be friends', 'Shame on all those people siuppotumh trump .', 'The GOP supporters of trump don’t care about any laws trump violated, they saw the power he has over his cult and they want that power for themselves.', 'GOP are such awful human beings!', 'They can’t handle the truth!!', '“I have to stay on script”. How the hell does that work during an investigation.', 'Short haired them', 'Loving this!!!!', '2 BILLION FOR WHAT YOU HAVE TO STAY IN THE CONFINE WHAT HAS THEY DONE WHAT ARE THEY HIDING', 'This is awesome! 😂😂😂', 'Thank you Representative Woodshed', 'love her .. never heard of hertil now but shes awesome', 'Great job Rep \U0001faf6🏽', 'See the truth comes out!🥰🥰🥰', 'Awesome!!! 👍🏻', 'Been waiting for someone to point out Jarod Kushner’s $2B gain from the Saudi’s while working in the White House. Republican hypocrisy front & cente', 'Way to go ma’am 🌹👍', 'in kind DONATION TO TRUMP!!!! LOVE IT', 'He has to keep to his script', 'why is it that this trumpers never answer yes or not', 'YES!👏👏👏💪💪💪💪💪', 'Maga = Deflect', 'But Hunter??? 👀', 'Amazing presentation skills!', 'She is fabulous!', 'Boost; southern Ohio', 'But that’s not what I want to talk about…😅', 'Excellent questions, excellent Points she made! Trump is the real criminal here!! 💙💙💙', 'Makes me proud to be from New Mexico!', 'Mic drop!', 'Smooth, smart and nailed it.', 'Yes, great job. Still, it\'s basically just ""whataboutisms"". I\'d have preferred that she blew him apart on the Hunter BS.', 'You dropped your crown, queen!', 'Thank you!!!!', 'Truth', 'YES! She nailed it!', 'Brilliant 💪💅', ""I'm from New Mexico and I loved this"", ""She's so good!!! Thank goodness intelligence exists in Congress"", 'Thank you for speaking g the truth', '👏👏👏 get’em 🔥🔥🔥', 'get em girl', 'Thank you!!', 'Stick to the script or tell the truth ???? Lol', '💯Girl!', ""YES MA'AM 👑👑👑"", 'thank you for your great service', 'you GO lady!!!', 'You go girl! That was so clinical.', 'but her emails!', 'answers were all wrong', 'Oh the shade!', 'How did we get SO broken? 😳', 'So true!! Well said.', 'they love to deflect!!', '👏👏👏 So glad I voted for you!', 'she went like a boss on them', 'Yes💙💙💙', 'Good job, great presentation', 'Bless your powerful words and strength!', 'The enjoyment watching this lady was through the roof! Brilliant put together!', '💯truth', '🔥🔥🔥🔥❤️❤️ThankYou!!!', 'Wow! Absolutely deadly. Great job!! 👏🏼👏🏼👏🏼', '👏👏👏👏👏👏👏\nThank you🙏🙏', 'Well done!', 'I was born in New Mexico and I am so proud that they have you!!', 'good for her!! nice job!!', '😂🤣All Facts 💯👍', ""she's great"", 'Facts!', 'Excellent thank you!! We all appreciate the truth! 🌹😎🙏', 'Whoop whoop', 'this is a strong message that needs to spread!', 'Excellent questioning.', '👏👏👏Drop the mic', 'You go girl!! 🙌', 'She took me on a journey 😳😊', 'Thank you', 'Well done! 👏👏👏', '🤣🤣🤣🤣🤣🤣 ouch.', 'Outstanding!', 'You got my vote. Nice job!', 'Good job Representative !', 'You go girl!!', 'Nice to meet you 💪 Get em!', 'Boost', 'get tham out', 'Yes yes and YES']"
7357176379433094442,"no one should have the right to tell women what we can and can't do with our bodies—including the supreme court.right now scotus is considering whether or not women should have access to life saving medications like mifepristone. the law must follow the science and protect our rights, not a political agenda.","['no', 'one', 'should', 'have', 'the', 'right', 'to', 'tell', 'women', 'what', 'we', 'can', 'and', 'cant', 'do', 'with', 'our', 'bodiesincluding', 'the', 'supreme', 'courtright', 'now', 'scotus', 'is', 'considering', 'whether', 'or', 'not', 'women', 'should', 'have', 'access', 'to', 'life', 'saving', 'medications', 'like', 'mifepristone', 'the', 'law', 'must', 'follow', 'the', 'science', 'and', 'protect', 'our', 'rights', 'not', 'a', 'political', 'agenda']","['Say it louder for those in the back💙💙💙💙💙', 'Perfectly spoken madam representative', 'We stand with you. Thank you.', '💙boosting', 'Thank you from Oklahoma! 💙💙💙', 'Thank you 👏👏👏', 'She’s awesome 👏👏💙💙', 'YOU VOTED IN FAVOR OF THE TIKTOK BILL AND YOU USE THE PLATFORM EVERY DAY, INCREDIBLE', ""I'm so tired of heartbeat bills. there is no fully functioning heart until 20 weeks.\nbefore that it's a cell cluster beat. call the bills that"", '😳 She see the repugs r an issue?', '👏👏👏', 'Vote 💙💙💙💙💙for Women']"
7356391987936873771,"i ran for congress because i was sick of politicians telling communities they would help them, only to turn around and use them for political theater.we’ve known for years of the behavioral health and public safety crises ravaging our tribes and pueblos, and it’s time we actually listen to tribal leaders and let them lead.","['i', 'ran', 'for', 'congress', 'because', 'i', 'was', 'sick', 'of', 'politicians', 'telling', 'communities', 'they', 'would', 'help', 'them', 'only', 'to', 'turn', 'around', 'and', 'use', 'them', 'for', 'political', 'theaterweve', 'known', 'for', 'years', 'of', 'the', 'behavioral', 'health', 'and', 'public', 'safety', 'crises', 'ravaging', 'our', 'tribes', 'and', 'pueblos', 'and', 'its', 'time', 'we', 'actually', 'listen', 'to', 'tribal', 'leaders', 'and', 'let', 'them', 'lead']","['Well said, keep it going💙', '❤️❤️❤️💙💙💙💙 thank you for serving. Thanks for sharing this.', 'You go girl!!! 👍👍👍👏👏👏😎😎😎💙💙💙', '👏👏👏', '👏🥰👏🥰', '💙💙💙', 'Algorithm gets me! 👏👏👏👏👏😡👏👏👏👏👏😡👏👏👏👏👏💯👏👏👏👏👏💯👏👏👏👏👏👏👏👏👏💯👏👏👏👏👏👏👏👏👏👏💯👏👏👏👏👏👏👏👏👏👏👏👏😡👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏', 'We need all of our representatives to be like you!']"
7356276971082452270,it’s official! my bipartisan veterans and outdoor accessibility bill passed the house last night as part of the explore act! it is now on its way to the senate and hopefully president biden’s desk! 🤞🏻,"['its', 'official', 'my', 'bipartisan', 'veterans', 'and', 'outdoor', 'accessibility', 'bill', 'passed', 'the', 'house', 'last', 'night', 'as', 'part', 'of', 'the', 'explore', 'act', 'it', 'is', 'now', 'on', 'its', 'way', 'to', 'the', 'senate', 'and', 'hopefully', 'president', 'bidens', 'desk']","['💙💙💙💙 My Representative!!!!!', '💯💯💙💙💙💙💙🇺🇸', '👏💙💙', '💙💙💙💙', '👏🏼', 'Proud of you.', 'I am more concerned about ending racism bigotry the loss of women’s rights Rent prices, global warming, food prices, corrupt, government officials, corrupt churches, corrupt schools, corrupt companies']"
7355974909589212459,"as a proud graduate of albuquerque public schools—we know our graduates go on to do amazing things. take city councilor nichole rogers, who graduated from cibola just like me! (go cougars! 🐾) or aps superintendent gabriella blakey, who graduated from highland! so excited to see what this year’s graduates do next!","['as', 'a', 'proud', 'graduate', 'of', 'albuquerque', 'public', 'schoolswe', 'know', 'our', 'graduates', 'go', 'on', 'to', 'do', 'amazing', 'things', 'take', 'city', 'councilor', 'nichole', 'rogers', 'who', 'graduated', 'from', 'cibola', 'just', 'like', 'me', 'go', 'cougars', 'or', 'aps', 'superintendent', 'gabriella', 'blakey', 'who', 'graduated', 'from', 'highland', 'so', 'excited', 'to', 'see', 'what', 'this', 'years', 'graduates', 'do', 'next']","['hello beautiful people thank you APS♥️🤟🤟west Mesa here', '👏👏💙', '❤️❤️❤️']"
7355615984830483755,healthcare is a human right. period. we must do everything we can to ensure our communities can access care.,"['healthcare', 'is', 'a', 'human', 'right', 'period', 'we', 'must', 'do', 'everything', 'we', 'can', 'to', 'ensure', 'our', 'communities', 'can', 'access', 'care']","['This is a great example of a Congresswoman doing so much good for her constituents!💙💙💙', '""health""-""care"" in this country is an absolute joke and non-existent. we pay for it only to pay for it when trying to use it', 'This is great-but what about the chronically ill losing their opioid pain medications? This is destroying trust throughout healthcare and ppl are suffering.', 'See how out-of-touch they are! Go work in a hospital for a week and you’ll see how out-of-touch all of you are!', 'We need to rise up and demand health care!!', 'Thank you.', 'We must get rid of all the middle entities ruining our healthcare, insurance, drug salesman, etc They harm more than help!!!']"
7354493454350552362,"every single living being deserves fresh air, clean water, and a healthy planet to live on.that’s why i brought some of new mexico’s brightest minds together for a roundtable to talk how we can make that hope a reality. i’m grateful every day to work with so many amazing groups that are leading the way for a just transition into climate resiliency.","['every', 'single', 'living', 'being', 'deserves', 'fresh', 'air', 'clean', 'water', 'and', 'a', 'healthy', 'planet', 'to', 'live', 'onthats', 'why', 'i', 'brought', 'some', 'of', 'new', 'mexicos', 'brightest', 'minds', 'together', 'for', 'a', 'roundtable', 'to', 'talk', 'how', 'we', 'can', 'make', 'that', 'hope', 'a', 'reality', 'im', 'grateful', 'every', 'day', 'to', 'work', 'with', 'so', 'many', 'amazing', 'groups', 'that', 'are', 'leading', 'the', 'way', 'for', 'a', 'just', 'transition', 'into', 'climate', 'resiliency']","['Thank you. I love our democratic women in NM.', ""I think it should be mandatory that every rep get on here and tell us what they have been doing. my rep in Wyoming isn't doing anything but arguing with our state reps"", 'What are you doing to help the First Nations with their water problems and the water shortages in the state as a whole? I am planning to move and New Mexico is one of the states I have been considerin', 'Thank you for your hard work, support you five states away. Well done!', 'Thank you for fighting for 🔴🟡 New Mexico. Make a change when we take back the House VOTING 🗳 MATTERS Vote 2️⃣0️⃣2️⃣4️⃣ keep NM Blue 🔵', 'Thank you!!!!!!', 'There is no inflation reduction act that’s made up', 'Tell us what was decided, implemented and action taken.', 'Used to live in Albuquerque (Rio Rancho) keep it going!', 'Thank you. Bravo NM', '🥰🥰 good stuff', 'Muchas gracias 😎😎😎', 'Who do you think you are? Working to solve real problems for real people? Crazy', '💙💙']"
7354192835769306414,"our communities deserve every opportunity to thrive—which means access to healthcare, mental and behavioral health programs, and addiction services. unfortunately, so many in new mexico are struggling to access that care. that's why i was deeply grateful to join the congressional hispanic caucus, rep. teresa leger fernández, and u.s. department of health and human services secretary becerra today as we heard from you on how we can help get better care to our communities.","['our', 'communities', 'deserve', 'every', 'opportunity', 'to', 'thrivewhich', 'means', 'access', 'to', 'healthcare', 'mental', 'and', 'behavioral', 'health', 'programs', 'and', 'addiction', 'services', 'unfortunately', 'so', 'many', 'in', 'new', 'mexico', 'are', 'struggling', 'to', 'access', 'that', 'care', 'thats', 'why', 'i', 'was', 'deeply', 'grateful', 'to', 'join', 'the', 'congressional', 'hispanic', 'caucus', 'rep', 'teresa', 'leger', 'fernández', 'and', 'us', 'department', 'of', 'health', 'and', 'human', 'services', 'secretary', 'becerra', 'today', 'as', 'we', 'heard', 'from', 'you', 'on', 'how', 'we', 'can', 'help', 'get', 'better', 'care', 'to', 'our', 'communities']","['#VoteBlue2024 #BidenHarris2024', '🥰🥰🥰🥰']"
