description_string,description_list
we all know who the grand puppet master is in this impeachment. the long arm (but small hands) of donald trump and his fingerprints are all over this hearing and gop shut down.,"['we', 'all', 'know', 'who', 'the', 'grand', 'puppet', 'master', 'is', 'in', 'this', 'impeachment', 'the', 'long', 'arm', 'but', 'small', 'hands', 'of', 'donald', 'trump', 'and', 'his', 'fingerprints', 'are', 'all', 'over', 'this', 'hearing', 'and', 'gop', 'shut', 'down']"
"if the majority wants to talk about dark money and activist courts, i am so here for it.so, let’s talk about how right wing organizations bankroll judicial decisions to undermine our fundamental rights and judicial system.","['if', 'the', 'majority', 'wants', 'to', 'talk', 'about', 'dark', 'money', 'and', 'activist', 'courts', 'i', 'am', 'so', 'here', 'for', 'itso', 'lets', 'talk', 'about', 'how', 'right', 'wing', 'organizations', 'bankroll', 'judicial', 'decisions', 'to', 'undermine', 'our', 'fundamental', 'rights', 'and', 'judicial', 'system']"
"the party of ‘law and order” 🤔lol, they literally have a history of interfering in criminal investigations for political gain.today’s oversight hearing is purely a political stunt. period.","['the', 'party', 'of', 'law', 'and', 'order', 'lol', 'they', 'literally', 'have', 'a', 'history', 'of', 'interfering', 'in', 'criminal', 'investigations', 'for', 'political', 'gaintodays', 'oversight', 'hearing', 'is', 'purely', 'a', 'political', 'stunt', 'period']"
"no one should have the right to tell women what we can and can't do with our bodies—including the supreme court.right now scotus is considering whether or not women should have access to life saving medications like mifepristone. the law must follow the science and protect our rights, not a political agenda.","['no', 'one', 'should', 'have', 'the', 'right', 'to', 'tell', 'women', 'what', 'we', 'can', 'and', 'cant', 'do', 'with', 'our', 'bodiesincluding', 'the', 'supreme', 'courtright', 'now', 'scotus', 'is', 'considering', 'whether', 'or', 'not', 'women', 'should', 'have', 'access', 'to', 'life', 'saving', 'medications', 'like', 'mifepristone', 'the', 'law', 'must', 'follow', 'the', 'science', 'and', 'protect', 'our', 'rights', 'not', 'a', 'political', 'agenda']"
"i ran for congress because i was sick of politicians telling communities they would help them, only to turn around and use them for political theater.we’ve known for years of the behavioral health and public safety crises ravaging our tribes and pueblos, and it’s time we actually listen to tribal leaders and let them lead.","['i', 'ran', 'for', 'congress', 'because', 'i', 'was', 'sick', 'of', 'politicians', 'telling', 'communities', 'they', 'would', 'help', 'them', 'only', 'to', 'turn', 'around', 'and', 'use', 'them', 'for', 'political', 'theaterweve', 'known', 'for', 'years', 'of', 'the', 'behavioral', 'health', 'and', 'public', 'safety', 'crises', 'ravaging', 'our', 'tribes', 'and', 'pueblos', 'and', 'its', 'time', 'we', 'actually', 'listen', 'to', 'tribal', 'leaders', 'and', 'let', 'them', 'lead']"
it’s official! my bipartisan veterans and outdoor accessibility bill passed the house last night as part of the explore act! it is now on its way to the senate and hopefully president biden’s desk! 🤞🏻,"['its', 'official', 'my', 'bipartisan', 'veterans', 'and', 'outdoor', 'accessibility', 'bill', 'passed', 'the', 'house', 'last', 'night', 'as', 'part', 'of', 'the', 'explore', 'act', 'it', 'is', 'now', 'on', 'its', 'way', 'to', 'the', 'senate', 'and', 'hopefully', 'president', 'bidens', 'desk']"
"as a proud graduate of albuquerque public schools—we know our graduates go on to do amazing things. take city councilor nichole rogers, who graduated from cibola just like me! (go cougars! 🐾) or aps superintendent gabriella blakey, who graduated from highland! so excited to see what this year’s graduates do next!","['as', 'a', 'proud', 'graduate', 'of', 'albuquerque', 'public', 'schoolswe', 'know', 'our', 'graduates', 'go', 'on', 'to', 'do', 'amazing', 'things', 'take', 'city', 'councilor', 'nichole', 'rogers', 'who', 'graduated', 'from', 'cibola', 'just', 'like', 'me', 'go', 'cougars', 'or', 'aps', 'superintendent', 'gabriella', 'blakey', 'who', 'graduated', 'from', 'highland', 'so', 'excited', 'to', 'see', 'what', 'this', 'years', 'graduates', 'do', 'next']"
healthcare is a human right. period. we must do everything we can to ensure our communities can access care.,"['healthcare', 'is', 'a', 'human', 'right', 'period', 'we', 'must', 'do', 'everything', 'we', 'can', 'to', 'ensure', 'our', 'communities', 'can', 'access', 'care']"
"every single living being deserves fresh air, clean water, and a healthy planet to live on.that’s why i brought some of new mexico’s brightest minds together for a roundtable to talk how we can make that hope a reality. i’m grateful every day to work with so many amazing groups that are leading the way for a just transition into climate resiliency.","['every', 'single', 'living', 'being', 'deserves', 'fresh', 'air', 'clean', 'water', 'and', 'a', 'healthy', 'planet', 'to', 'live', 'onthats', 'why', 'i', 'brought', 'some', 'of', 'new', 'mexicos', 'brightest', 'minds', 'together', 'for', 'a', 'roundtable', 'to', 'talk', 'how', 'we', 'can', 'make', 'that', 'hope', 'a', 'reality', 'im', 'grateful', 'every', 'day', 'to', 'work', 'with', 'so', 'many', 'amazing', 'groups', 'that', 'are', 'leading', 'the', 'way', 'for', 'a', 'just', 'transition', 'into', 'climate', 'resiliency']"
"our communities deserve every opportunity to thrive—which means access to healthcare, mental and behavioral health programs, and addiction services. unfortunately, so many in new mexico are struggling to access that care. that's why i was deeply grateful to join the congressional hispanic caucus, rep. teresa leger fernández, and u.s. department of health and human services secretary becerra today as we heard from you on how we can help get better care to our communities.","['our', 'communities', 'deserve', 'every', 'opportunity', 'to', 'thrivewhich', 'means', 'access', 'to', 'healthcare', 'mental', 'and', 'behavioral', 'health', 'programs', 'and', 'addiction', 'services', 'unfortunately', 'so', 'many', 'in', 'new', 'mexico', 'are', 'struggling', 'to', 'access', 'that', 'care', 'thats', 'why', 'i', 'was', 'deeply', 'grateful', 'to', 'join', 'the', 'congressional', 'hispanic', 'caucus', 'rep', 'teresa', 'leger', 'fernández', 'and', 'us', 'department', 'of', 'health', 'and', 'human', 'services', 'secretary', 'becerra', 'today', 'as', 'we', 'heard', 'from', 'you', 'on', 'how', 'we', 'can', 'help', 'get', 'better', 'care', 'to', 'our', 'communities']"
