video_id,description_string,description_list
7359310165461568798,do you know what drives me nuts about what’s going on inwith thefunding?some of my colleagues are echoingstate,"['do', 'you', 'know', 'what', 'drives', 'me', 'nuts', 'about', 'whats', 'going', 'on', 'inwith', 'thefundingsome', 'of', 'my', 'colleagues', 'are', 'echoingstate']"
7355557230193773866,totalof my heart ❤️👨‍👩‍👧‍👦,"['totalof', 'my', 'heart']"
7345476833854508319,icymi: i dive into the momentwalked into theand’s appalling response to the speech.check it out and check back weekly for new video content.,"['icymi', 'i', 'dive', 'into', 'the', 'momentwalked', 'into', 'theands', 'appalling', 'response', 'to', 'the', 'speechcheck', 'it', 'out', 'and', 'check', 'back', 'weekly', 'for', 'new', 'video', 'content']"
7345202286848642347,re: joe biden’s stutter,"['re', 'joe', 'bidens', 'stutter']"
7344046721384582431,"anmessage from my mom.mom was one of the first women to be a tv “newsreader” in the 70’s. it was a time when women weren’t welcomed in the newsroom, but she helped put a big crack in that glass ceiling.","['anmessage', 'from', 'my', 'mommom', 'was', 'one', 'of', 'the', 'first', 'women', 'to', 'be', 'a', 'tv', 'newsreader', 'in', 'the', 's', 'it', 'was', 'a', 'time', 'when', 'women', 'werent', 'welcomed', 'in', 'the', 'newsroom', 'but', 'she', 'helped', 'put', 'a', 'big', 'crack', 'in', 'that', 'glass', 'ceiling']"
7342664318766370079,🚨- tomorrow is election day!each election is 𝗖𝗥𝗨𝗖𝗜𝗔𝗟 for democracy. make your voice heard & vote! polls open until 7:30pm,"['tomorrow', 'is', 'election', 'dayeach', 'election', 'is', '𝗖𝗥𝗨𝗖𝗜𝗔𝗟', 'for', 'democracy', 'make', 'your', 'voice', 'heard', 'vote', 'polls', 'open', 'until', 'pm']"
7338582898997464363,i won’t give up the fight for fair maps and an end partisan gerrymandering.today i’m starting a tour of the state to talk with north carolinians about how republicans rigged the system and how we can stop them.,"['i', 'wont', 'give', 'up', 'the', 'fight', 'for', 'fair', 'maps', 'and', 'an', 'end', 'partisan', 'gerrymanderingtoday', 'im', 'starting', 'a', 'tour', 'of', 'the', 'state', 'to', 'talk', 'with', 'north', 'carolinians', 'about', 'how', 'republicans', 'rigged', 'the', 'system', 'and', 'how', 'we', 'can', 'stop', 'them']"
7338375059783847214,"vote early! 🗳️ you can vote in-person in the nc primary election now through march 2nd, nc!!visit ncsbe.gov for more information.","['vote', 'early', 'you', 'can', 'vote', 'inperson', 'in', 'the', 'nc', 'primary', 'election', 'now', 'through', 'march', 'nd', 'ncvisit', 'ncsbegov', 'for', 'more', 'information']"
7336669445185637674,house republicans had a huge loss this week‼️how women’s reproductive health rights and bipartisan immigration reform won the day in. 🇺🇸,"['house', 'republicans', 'had', 'a', 'huge', 'loss', 'this', 'weekhow', 'womens', 'reproductive', 'health', 'rights', 'and', 'bipartisan', 'immigration', 'reform', 'won', 'the', 'day', 'in']"
7333396210599857451,house republicans had a big upset this week. why? democrats stayed together.an amazing story about how al green helped us win a bs impeachment vote.,"['house', 'republicans', 'had', 'a', 'big', 'upset', 'this', 'week', 'why', 'democrats', 'stayed', 'togetheran', 'amazing', 'story', 'about', 'how', 'al', 'green', 'helped', 'us', 'win', 'a', 'bs', 'impeachment', 'vote']"
