video_id,Description
7283952208561933599," defense, law, and crime"
7278392468788366634," defense, law, and crime"
7257715712897125675," defense, law, and crime"
7357176379433094442," health, education, and labor"
7356391987936873771," health, education, and labor"
7356276971082452270," health, education, and labor"
7355974909589212459," health, education, and labor"
7355615984830483755," health, education, and labor"
7354493454350552362," health, education, and labor"
7354192835769306414," health, education, and labor"
7349726769559113002," defense, law, and crime"
7349683816333806894," defense, law, and crime"
7349246792648723755, culture
7348232515821309227," defense, law, and crime"
7343711717823778094," health, education, and labor"
7343412236410506539," economy, commerce, and transportation"
7341213167009140014," defense, law, and crime"
7340747273002863915," defense, law, and crime"
7340678219282042158," defense, law, and crime"
7340328240315125035," defense, law, and crime"
7338602228581748011, culture
7334055400850918702, civil rights
7334005536448515374, culture
7332951408423095594," health, education, and labor"
7332652564762135854," defense, law, and crime"
7330670871394225451," health, education, and labor"
7330036463138065707, immigration and international affairs
7325587998370958638," defense, law, and crime"
7325490784348753195," health, education, and labor"
7325213730659208490," health, education, and labor"
7325202367341727019, immigration and international affairs
7322564437032897834," defense, law, and crime"
7322506528307645739, other
7321188330094234923, other
7312955628111007022, other
7102191553073958190, culture
7100939002848513322, culture
7100775000382295342, culture
7161565136992455979, culture
7160507315228085547," health, education, and labor"
7160388514847247662," defense, law, and crime"
7158128355760508203, other
7157896362292497707, other
7156798336434179374, other
7151148299632790830," health, education, and labor"
7150789664851365162, other
7145275774424190251," health, education, and labor"
7138125188096560430, energy and environment
7134375357918186798, culture
7126613233829580078, culture
7146604693559446830, housing and social welfare
7107294105620843822, culture
7096898701460999470," economy, commerce, and transportation"
7093672531508383018, culture
7023486814052732165, culture
7019021680483831046, other
7160877767410634030," health, education, and labor"
7158660759243935022, other
7152646707334106414, culture
7163529035807575338," health, education, and labor"
7163472799447797035, other
7162763160846454062," health, education, and labor"
7162377841034808618, immigration and international affairs
7161604790328446254," health, education, and labor"
7161274489295342894, other
7160327615675649326," defense, law, and crime"
7159792224551619883, other
7159719861613104430," defense, law, and crime"
7159012031058709802," health, education, and labor"
7158556470471167275," economy, commerce, and transportation"
7158282948213558571, other
7157579974181096750, other
7155666147151727918, other
7151210990196116782, other
7148911192311106862," health, education, and labor"
7144890223342701867, other
7144035415534914862," health, education, and labor"
7143719601531260206," health, education, and labor"
7142987881328643374," health, education, and labor"
7128221767608618286, culture
7127682781060025643, other
7117843552947768622, other
7115227826684644654," health, education, and labor"
7101129070871891246," health, education, and labor"
7096674393128176942," health, education, and labor"
7092246979878636843, other
7086666888901758254, culture
7084314109721824554, other
7357028369654877486," health, education, and labor"
7346225506599128366," health, education, and labor, housing and social welfare"
7333326357549583658, civil rights
7330353588633406766," civil rights, economy, commerce, and transportation"
7322239975033015595, immigration and international affairs
7309984356926295338, civil rights
7301133669811522858, immigration and international affairs
7298853556403129642, civil rights
7292162807389408558," health, education, and labor"
7284366043047464238, other
7275761750048394539," health, education, and labor"
7244977629969894698, civil rights
7237220580187999530," economy, commerce, and transportation, health, education, and labor"
7234677732657859883," economy, commerce, and transportation"
7234223726475136298," economy, commerce, and transportation"
7233902515815894318," economy, commerce, and transportation"
7232399605034388779," health, education, and labor"
7223883449076043054, other
7216781318842043694, other
7216055285771799851," economy, commerce, and transportation"
7215640894286892331, civil rights
7208726562559085867, other
7208366944766938414," economy, commerce, and transportation"
7195729682791255339," health, education, and labor"
7189785999713520938," health, education, and labor"
7188285207902997806," civil rights, culture"
7187462341544398123," civil rights, culture"
7309551218765352238, other
7307447978325839147, energy and environment
7307406093523684651, other
7307031922218356014," defense, law, and crime"
7306626471546735914," health, education, and labor"
7305906213433117998, other
7305597681844456747, culture
7305093558938193198, culture
7304811418056920366, culture
7304762327088303403, culture
7304728569362631978, culture
7304499917773475115, other
7304468347268173099, housing and social welfare
7304375499726409006, other
7302088575405788459," economy, commerce, and transportation"
7301717631109762346, other
7299225261931990318, other
7298563903112449323, other
7298432698102582571, culture
7297038199946218798, culture
7296518555023969582, other
7290923089045589290, energy and environment
7290619715213397291, culture
7285489665379929386, other
7284840567572286763, other
7283205330782211359, other
7273605305144102190, other
7270591603025251630," economy, commerce, and transportation"
7270345843369168174," economy, commerce, and transportation"
7269877600040914219, other
7268816128473025838, other
7268045930698673451, other
7267592219224444206," health, education, and labor"
7266990195411668267," economy, commerce, and transportation"
7266618978334821674, other
7265464122270092587, energy and environment
7263632613926079787, culture
7263273759992270123," economy, commerce, and transportation"
7262923461549493546, housing and social welfare
7262515917232393515, other
7262128148630736174, culture
7261470590991666475, culture
7259882211854404906," health, education, and labor"
