video_id,Description
7359310165461568798, other
7355557230193773866, culture
7345476833854508319, other
7345202286848642347," health, education, and labor"
7344046721384582431, culture
7342664318766370079, other
7338582898997464363," defense, law, and crime"
7338375059783847214, other
7336669445185637674," health, education, and labor, immigration and international affairs"
7333396210599857451," defense, law, and crime"
7174758351576812842," defense, law, and crime"
7164520935779781934, other
7163447068919565614, other
7162528866681031979, other
7162155928312155434, other
7161809091671772459," health, education, and labor"
7160438389714603306, other
7159344404820495658, other
7158258753823886635, other
7157473569688046890, other
7157467423510154542, other
7156728084174048558, other
7152206907418217770, other
7152204323705883950, other
7151046812957347118, other
7150761199204896046," defense, law, and crime"
7149966029098126638, other
7149708078185712939, other
7147420447569759530, other
7147262679164505386, other
7146733083532840235, other
7145899094807022891, other
7143625519660125482, other
7141209977603067178, other
7139939402410691882," economy, commerce, and transportation"
7357322771942313262, other
7353240768863046955, other
7349531983091027246, other
7348052906500820266," defense, law, and crime"
7346317885867904302, other
7345854316147789099, other
7341122321719004459, other
7333586381182078251, other
7330983882709339438, culture
7330612098977762603, culture
7325938736867560750," economy, commerce, and transportation"
7312975990479752490," health, education, and labor"
7312945090375388462," health, education, and labor"
7312914045437250859," health, education, and labor"
7312875814662589738," health, education, and labor"
7310017174423375150, other
7307431419704282410, other
7297002337644662058," economy, commerce, and transportation"
7296946791864585518," defense, law, and crime"
7296663186831428906," economy, commerce, and transportation"
7296486084962258218," economy, commerce, and transportation"
7296293385713995054, other
7296117211574553902, other
7295003637191888174," defense, law, and crime"
7294675748361915690," defense, law, and crime"
7294386602116205866," health, education, and labor"
7294008662329199915," economy, commerce, and transportation, energy and environment"
7293648508475788586, other
7293491997883551019, other
7293270816362564910, housing and social welfare
7293119761964076334, other
7292891456262376747, culture
7292550653115649326, culture
7290673759923588398, other
7287706063099497771, immigration and international affairs
7294267943217564970," defense, law, and crime"
7223000065722387755, other
7210014701688835370," economy, commerce, and transportation"
7358844815272021294, immigration and international affairs
7350298483364007211, other
7346944777075559722, culture
7345130701836094762," defense, law, and crime"
7343246949551803690, other
7338825284751232299," defense, law, and crime"
7334730862581353770," defense, law, and crime"
7328051317614857518, other
7324736356993879339, other
7322112676065250603, immigration and international affairs
7313946347969793322, other
7309502205223013675," economy, commerce, and transportation"
7305055349114015019, culture
7303572154237488430, other
7297241447089343790," defense, law, and crime"
7291681112911269163, other
7289445324337401134, other
7286100988824538414," defense, law, and crime"
7285386105468357934," defense, law, and crime"
7283158488547888430," defense, law, and crime"
7280530364186103086," defense, law, and crime"
7270540789644545322, other
7265347681168575790, other
7262005115954023722, culture
7259801090307198251, other
7256807331747482926," defense, law, and crime"
7254194271702584619," defense, law, and crime"
7248999241312505131," defense, law, and crime"
7246792991485070634," economy, commerce, and transportation"
7241601181242477867, other
7238255028455132458," economy, commerce, and transportation"
7230817528879123755," economy, commerce, and transportation"
7228219281228631342," economy, commerce, and transportation"
7225618544791194923, other
7220806540511513898," health, education, and labor"
7217821006818430254," economy, commerce, and transportation"
7215231369696333099, other
7207459213558172970, immigration and international affairs
7202634501959208235, immigration and international affairs
7200123875269692715," defense, law, and crime"
7190743376638135594, other
7185919167273618734," defense, law, and crime"
7182959845706960170, other
7166278525815819566, other
7163813697016565038, other
7156624338559520043, other
7155481179079200046, other
7154025197547359531, other
7153248311804169514, other
7146648305232252206, other
7129885400755211562, culture
7126684018023730475, other
7119500297466334510, other
7118023868933033259, energy and environment
7117258859479289134, other
7115030059496262954," health, education, and labor"
7112134705151003950, other
7104752592563014958, other
7104408882390355246," health, education, and labor"
7045760424104709422, other
7042440750604455215, other
