video_id,Description
7325202367341727019, immigration and international affairs
7322564437032897834," defense, law, and crime"
7322506528307645739," defense, law, and crime"
7321188330094234923," defense, law, and crime"
7312955628111007022," defense, law, and crime"
7102191553073958190, other
7100939002848513322, other
7100775000382295342, other
7161565136992455979, other
7160507315228085547," health, education, and labor"
7160388514847247662," defense, law, and crime"
7158128355760508203, other
7157896362292497707, other
7156798336434179374, other
7151148299632790830," health, education, and labor"
7150789664851365162, other
7145275774424190251," economy, commerce, and transportation"
7138125188096560430, energy and environment
7134375357918186798, other
7126613233829580078, other
7146604693559446830, other
7107294105620843822, other
7096898701460999470, other
7093672531508383018, other
7023486814052732165, other
7019021680483831046, other
7160877767410634030," health, education, and labor"
7158660759243935022, culture
7152646707334106414, culture
7163529035807575338," economy, commerce, and transportation"
7163472799447797035," defense, law, and crime"
7162763160846454062," health, education, and labor"
7162377841034808618, immigration and international affairs
7161604790328446254," health, education, and labor"
7161274489295342894, other
7160327615675649326," defense, law, and crime"
7159792224551619883, other
7159719861613104430," defense, law, and crime"
7159012031058709802," health, education, and labor"
7158556470471167275," economy, commerce, and transportation"
7158282948213558571, other
7157579974181096750, other
7155666147151727918, other
7151210990196116782, culture
7148911192311106862," health, education, and labor"
7144890223342701867, other
7144035415534914862," health, education, and labor"
7143719601531260206," defense, law, and crime"
7142987881328643374," health, education, and labor"
7128221767608618286, culture
7127682781060025643, other
7117843552947768622, other
7115227826684644654," health, education, and labor"
7101129070871891246," health, education, and labor"
7096674393128176942," health, education, and labor"
7092246979878636843, other
7086666888901758254, culture
7084314109721824554, other
7357028369654877486," health, education, and labor"
7346225506599128366," defense, law, and crime"
7333326357549583658," economy, commerce, and transportation, civil rights"
7330353588633406766," economy, commerce, and transportation, civil rights"
7322239975033015595, immigration and international affairs
7309984356926295338," defense, law, and crime, civil rights"
7301133669811522858," defense, law, and crime, immigration and international affairs"
7298853556403129642," defense, law, and crime, immigration and international affairs"
7292162807389408558," defense, law, and crime, immigration and international affairs"
7284366043047464238," defense, law, and crime, economy, commerce, and transportation"
7275761750048394539," health, education, and labor, economy, commerce, and transportation"
7244977629969894698," civil rights, economy, commerce, and transportation"
7237220580187999530," defense, law, and crime, economy, commerce, and transportation"
7234677732657859883," economy, commerce, and transportation"
7234223726475136298," economy, commerce, and transportation"
7233902515815894318," economy, commerce, and transportation"
7232399605034388779," health, education, and labor"
7223883449076043054," civil rights, culture"
